user_id,timestamp,recon_error,risk_pred,rf_prob,rf_risk,mlp_prob,mlp_risk,risk
P0001,2025-07-30 18:00:00,1.1051549,medium,0.685,high,0.1833042669621959,low,high
P0001,2025-07-27 00:00:00,1.006605,medium,0.6625,high,0.1544527914470802,low,high
P0001,2025-07-25 06:00:00,1.1545347,medium,0.7175,high,0.0589354205491982,low,high
P0001,2025-07-25 00:00:00,1.1608577,medium,0.78,high,0.1519465415289957,low,high
P0001,2025-07-24 18:00:00,1.0959871,medium,0.8375,high,0.1203663668061376,low,high
P0001,2025-07-24 12:00:00,1.3775542,medium,0.6225,high,0.1230863142722966,low,high
P0001,2025-07-24 06:00:00,1.2829137,medium,0.9575,high,0.2115280930670908,low,high
P0001,2025-07-24 00:00:00,1.2326787,medium,0.955,high,0.192646020966743,low,high
P0001,2025-07-23 18:00:00,1.3669305,medium,0.8925,high,0.1193363585084335,low,high
P0001,2025-07-23 12:00:00,1.1404407,medium,0.88,high,0.2252187468841999,low,high
P0001,2025-07-23 06:00:00,1.1406858,medium,0.7925,high,0.1178600634338368,low,high
P0001,2025-07-23 00:00:00,1.2556379,medium,0.78,high,0.1744695087033181,low,high
P0001,2025-07-22 18:00:00,1.3352492,medium,0.735,high,0.2260284152009084,low,high
P0001,2025-07-22 12:00:00,1.296288,medium,0.7925,high,0.1910409245135426,low,high
P0001,2025-07-22 00:00:00,0.9803611,medium,0.715,high,0.1605547128938156,low,high
P0001,2025-07-21 18:00:00,0.9649722,medium,0.7925,high,0.1283698999169995,low,high
P0001,2025-07-21 00:00:00,1.2877522,medium,0.7975,high,0.1060751293040197,low,high
P0001,2025-07-20 18:00:00,1.3085321,medium,0.8575,high,0.11812705191987,low,high
P0001,2025-07-20 00:00:00,1.2606425,medium,0.81,high,0.1473805800959862,low,high
P0001,2025-07-19 18:00:00,1.2347757,medium,0.78,high,0.1566864118268897,low,high
P0001,2025-07-19 12:00:00,1.2750401,medium,0.7275,high,0.1182818586871251,low,high
P0001,2025-07-19 06:00:00,1.0263627,medium,0.76,high,0.2775532963152937,low,high
P0001,2025-07-18 12:00:00,1.0333142,medium,0.7775,high,0.0859415918996947,low,high
P0001,2025-07-18 06:00:00,0.9215423,low,0.6975,high,0.0824219329162445,low,high
P0001,2025-07-17 18:00:00,0.95264775,medium,0.8275,high,0.195972202945876,low,high
P0001,2025-07-17 12:00:00,1.2006096,medium,0.865,high,0.1376257266004481,low,high
P0001,2025-07-17 06:00:00,1.2313502,medium,0.9425,high,0.0943446817333828,low,high
P0001,2025-07-17 00:00:00,1.305201,medium,0.7675,high,0.0940017426491267,low,high
P0001,2025-07-16 18:00:00,1.4037213,medium,0.8475,high,0.0943891273610256,low,high
P0001,2025-07-16 12:00:00,1.5141187,high,0.855,high,0.1065616433524509,low,high
